============================================================
EC Certifiers Batch Extractor
============================================================
Total ECs: 1477
Done: 0, Remaining: 1477
[416/1477] EC0588: 0 certifiers ✓
[417/1477] EC0589: 1 certifiers ✓
[418/1477] EC0590: 3 certifiers ✓
[419/1477] EC0591: 6 certifiers ✓
[420/1477] EC0592: 1 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 242 min
[421/1477] EC0593: 0 certifiers ✓
[422/1477] EC0593.01: 0 certifiers ✓
[423/1477] EC0594: 8 certifiers ✓
[424/1477] EC0595: 2 certifiers ✓
[425/1477] EC0596: 0 certifiers ✓
[426/1477] EC0597: 0 certifiers ✓
[427/1477] EC0598: 0 certifiers ✓
[428/1477] EC0599: 0 certifiers ✓
[429/1477] EC0600: 3 certifiers ✓
[430/1477] EC0601: 4 certifiers ✓
[431/1477] EC0602: 3 certifiers ✓
[432/1477] EC0603: 3 certifiers ✓
[433/1477] EC0604: 0 certifiers ✓
[434/1477] EC0605: 0 certifiers ✓
[435/1477] EC0606: 0 certifiers ✓
[436/1477] EC0607: 2 certifiers ✓
[437/1477] EC0608: 0 certifiers ✓
[438/1477] EC0609: 1 certifiers ✓
[439/1477] EC0610: 2 certifiers ✓
[440/1477] EC0611: 37 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 238 min
[441/1477] EC0612: 1 certifiers ✓
[442/1477] EC0613.01: 18 certifiers ✓
[443/1477] EC0614: 8 certifiers ✓
[444/1477] EC0615: 4 certifiers ✓
[445/1477] EC0616: 90 certifiers ✓
[446/1477] EC0617: 7 certifiers ✓
[447/1477] EC0618: 5 certifiers ✓
[448/1477] EC0619: 13 certifiers ✓
[449/1477] EC0620: 4 certifiers ✓
[450/1477] EC0621: 2 certifiers ✓
[451/1477] EC0622: 13 certifiers ✓
[452/1477] EC0623: 3 certifiers ✓
[453/1477] EC0624: 9 certifiers ✓
[454/1477] EC0625: 22 certifiers ✓
[455/1477] EC0626: 16 certifiers ✓
[456/1477] EC0627: 0 certifiers ✓
[457/1477] EC0628: 1 certifiers ✓
[458/1477] EC0629: 7 certifiers ✓
[459/1477] EC0630: 4 certifiers ✓
[460/1477] EC0631: 9 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 233 min
[461/1477] EC0632: 1 certifiers ✓
[462/1477] EC0633: 0 certifiers ✓
[463/1477] EC0634: 6 certifiers ✓
[464/1477] EC0635: 1 certifiers ✓
[465/1477] EC0636: 0 certifiers ✓
[466/1477] EC0637: 0 certifiers ✓
[467/1477] EC0639: 0 certifiers ✓
[468/1477] EC0640: 3 certifiers ✓
[469/1477] EC0641: 0 certifiers ✓
[470/1477] EC0642: 8 certifiers ✓
[471/1477] EC0643: 0 certifiers ✓
[472/1477] EC0644: 0 certifiers ✓
[473/1477] EC0645: 2 certifiers ✓
